Epoch,PSNR,SSIM,MSE,MEAN_PSNR,MEAN_SSIM
1,20.517889657463154,0.5694423913955688,tensor(0.0033),23.197990794117743,0.6524905038602424
2,24.58879573793523,0.6675112843513489,tensor(0.0017),27.572071876062292,0.7092365243218162
3,21.06566122771527,0.6488075852394104,tensor(0.0037),,
4,23.658928312032575,0.65583336353302,tensor(0.0021),,
5,21.377079990462327,0.6682884097099304,tensor(0.0040),,
6,25.669017139987425,0.6802861094474792,tensor(0.0018),,
7,22.38002701114243,0.7036861181259155,tensor(0.0030),,
8,22.295031043147915,0.7047616839408875,tensor(0.0031),,
9,21.551673686746447,0.6449155211448669,tensor(0.0041),,
10,24.819567218658083,0.6394523978233337,tensor(0.0023),,
11,22.77144389690758,0.5686697959899902,tensor(0.0026),,
12,25.080608427604357,0.7017822861671448,tensor(0.0015),,
13,21.893753595669608,0.6741383671760559,tensor(0.0031),,
14,25.375309158167873,0.671725869178772,tensor(0.0017),,
15,25.452326859379856,0.6755356192588806,tensor(0.0019),,
16,26.032469851278126,0.5960554480552673,tensor(0.0011),,
17,20.74996448350333,0.6524158120155334,tensor(0.0039),,
18,23.356945647492232,0.6562061309814453,tensor(0.0027),,
19,24.510022660221715,0.5690068006515503,tensor(0.0016),,
20,23.722988714350677,0.6754793524742126,tensor(0.0022),,
21,22.385344502047907,0.6677504777908325,tensor(0.0030),,
22,24.331771419425845,0.5760960578918457,tensor(0.0018),,
23,23.63642158072619,0.6826364398002625,tensor(0.0022),,
24,21.45076651677332,0.6456437706947327,tensor(0.0041),,
25,23.771030240392705,0.6847172379493713,tensor(0.0021),,
26,23.566473105340577,0.6585946083068848,tensor(0.0025),,
27,23.33544928212321,0.6937945485115051,tensor(0.0024),,
28,24.198235449697997,0.6696649789810181,tensor(0.0019),,
29,22.82848160586552,0.568242609500885,tensor(0.0022),,
30,24.426528928044597,0.6792927980422974,tensor(0.0017),,
31,23.878880447931657,0.6633553504943848,tensor(0.0028),,
32,20.594405301389166,0.6565596461296082,tensor(0.0058),,
33,20.260403506260598,0.6618377566337585,tensor(0.0050),,
34,24.26766132520268,0.6399394869804382,tensor(0.0016),,
35,28.971122775602982,0.7505017518997192,tensor(0.0006),,
36,25.44643135412677,0.7026674747467041,tensor(0.0016),,
37,28.44661360047146,0.7361295819282532,tensor(0.0007),,
38,26.93746694752516,0.710747241973877,tensor(0.0011),,
39,28.772825340482484,0.7100517749786377,tensor(0.0009),,
40,26.157603840580535,0.7094825506210327,tensor(0.0015),,
41,26.53217078885675,0.7088536024093628,tensor(0.0015),,
42,27.638647318929962,0.7568050026893616,tensor(0.0010),,
43,28.979583388807587,0.7059220671653748,tensor(0.0009),,
44,26.125053768717184,0.6473358869552612,tensor(0.0012),,
45,28.791451794521485,0.7476208209991455,tensor(0.0006),,
46,27.468305360832996,0.7392672300338745,tensor(0.0009),,
47,28.701404678342072,0.7162973880767822,tensor(0.0008),,
48,28.796765142927143,0.7045746445655823,tensor(0.0009),,
49,27.528848481757965,0.6540968418121338,tensor(0.0009),,
50,27.133371124417298,0.7497281432151794,tensor(0.0011),,
51,27.86131351504464,0.7011352777481079,tensor(0.0010),,
52,27.370308019254956,0.6541357636451721,tensor(0.0009),,
53,27.597768564029398,0.7091421484947205,tensor(0.0009),,
54,29.64452016840113,0.7036596536636353,tensor(0.0011),,
55,27.035757784332866,0.6576423048973083,tensor(0.0010),,
56,28.573372824328178,0.7430134415626526,tensor(0.0007),,
57,27.190757509057196,0.7079771757125854,tensor(0.0011),,
58,28.544543828145805,0.7445966601371765,tensor(0.0007),,
59,27.928627923226234,0.7063180208206177,tensor(0.0010),,
60,27.175159515484076,0.7079132795333862,tensor(0.0010),,
61,28.76773150308885,0.7331472635269165,tensor(0.0007),,
62,26.882277378969558,0.652338981628418,tensor(0.0011),,
63,28.88624676316505,0.7517271637916565,tensor(0.0006),,
64,28.417306803710822,0.702839732170105,tensor(0.0010),,
65,26.072436011330815,0.7215923070907593,tensor(0.0016),,
66,25.23491676638338,0.7176046371459961,tensor(0.0017),,
