num_img,PSNR,SSIM,MSE,MEAN_PSNR,STD_PNSR,MEAN_SSIM,STD_SSIM
1,20.566612769197604,0.5757296681404114,0.0032847898546606302,23.879876185172336,1.609377907787088,0.6770728302724434,0.14919278572148761
2,25.080426992551835,0.6896558403968811,0.0015125751961022615,27.339778429679917,1.1536620653378566,0.5383834784681146,0.01685137936023244
3,21.770703037449426,0.6712960004806519,0.0031686529982835054,,,,
4,24.21686051359896,0.685154139995575,0.0018246524268761277,,,,
5,21.96141779956555,0.7161225080490112,0.0035341510083526373,,,,
6,26.549970496722118,0.6754342913627625,0.0014724795473739505,,,,
7,23.55389421883327,0.7385870218276978,0.002322061453014612,,,,
8,23.48245663491935,0.7401583194732666,0.0023351223208010197,,,,
9,22.29153047233535,0.6886762380599976,0.00345013290643692,,,,
10,25.24800396989069,0.6576100587844849,0.002103520790114999,,,,
11,22.88949961854414,0.5608206987380981,0.002561619970947504,,,,
12,25.79093861175915,0.6941604018211365,0.0012842980213463306,,,,
13,23.04899822923896,0.7182249426841736,0.0023876263294368982,,,,
14,26.18269583194673,0.6940851807594299,0.0014228601939976215,,,,
15,25.91552134309572,0.6907018423080444,0.0017205214826390147,,,,
16,26.231615236598856,0.5556545853614807,0.0010834654094651341,,,,
17,21.690295320346443,0.7001329064369202,0.003154922043904662,,,,
18,23.983828776716404,0.6978399157524109,0.0023607441689819098,,,,
19,25.42448845859173,0.5748851299285889,0.0012596335727721453,,,,
20,24.908901650241695,0.7201116681098938,0.0016450241673737764,,,,
21,23.048806438781803,0.7003240585327148,0.002608449896797538,,,,
22,25.06386518175627,0.586005449295044,0.001518354401923716,,,,
23,24.298984393382675,0.711152195930481,0.0018723126268014312,,,,
24,22.051244382823946,0.6968829035758972,0.0035350671969354153,,,,
25,24.87953893890886,0.7268489599227905,0.0016020344337448478,,,,
26,24.25920751532803,0.7070139646530151,0.0021707129199057817,,,,
27,24.267349763932636,0.7288114428520203,0.0019490380072966218,,,,
28,24.76454882089901,0.7103904485702515,0.0016450186958536506,,,,
29,23.221153360772355,0.5486867427825928,0.0020428537391126156,,,,
30,24.7655960106707,0.688893735408783,0.001608076156117022,,,,
31,24.380086414064284,0.7008091807365417,0.0024737147614359856,,,,
32,21.368422028353606,0.6977084279060364,0.0048551661893725395,,,,
33,20.87845087886884,0.6948345303535461,0.0043461075983941555,,,,
34,24.22617748685304,0.5208009481430054,0.0016014673747122288,,,,
35,27.86378428277837,0.5361807346343994,0.0007968585705384612,,,,
36,25.431871873026118,0.5360685586929321,0.0016230613691732287,,,,
37,27.860845914335435,0.5364344120025635,0.0008336386526934803,,,,
38,26.93857748314979,0.5377106070518494,0.0011234898120164871,,,,
39,28.971098252457153,0.5358408689498901,0.0008432114263996482,,,,
40,26.619624919677975,0.5851826667785645,0.001339729642495513,,,,
41,26.89232800018232,0.5813079476356506,0.0013348156353458762,,,,
42,26.696799969915933,0.5342141389846802,0.0012511485256254673,,,,
43,28.94327963727381,0.5374636650085449,0.0008982955478131771,,,,
44,25.858048773015454,0.522254467010498,0.001293182373046875,,,,
45,28.127048374112135,0.534847617149353,0.0007499888888560236,,,,
46,27.261094447882503,0.5545305609703064,0.00090522546088323,,,,
47,28.438207491725606,0.5404291152954102,0.0008464689599350095,,,,
48,28.858011621300143,0.5283432602882385,0.0008737980388104916,,,,
49,27.330823035609306,0.5152950882911682,0.0009315249044448137,,,,
50,26.741644732197216,0.5564963817596436,0.0011880149831995368,,,,
51,27.82627090986714,0.5299087166786194,0.0009745513089001179,,,,
52,26.912483584454975,0.5182613730430603,0.001003176555968821,,,,
53,27.798029960133036,0.56153404712677,0.0008738968172110617,,,,
54,29.74169718851344,0.5485792756080627,0.0010612807236611843,,,,
55,26.56475254332701,0.5039049983024597,0.0010989790316671133,,,,
56,27.894323582130617,0.5370622873306274,0.0008181716548278928,,,,
57,27.13638076663294,0.5469955801963806,0.0010961855296045542,,,,
58,27.88127615439658,0.5392087697982788,0.0008025980787351727,,,,
59,27.96035809507495,0.5279579758644104,0.0009449220960959792,,,,
60,27.15112041547777,0.5440271496772766,0.0010033287107944489,,,,
61,28.135868111622067,0.5402252674102783,0.0008084931178018451,,,,
62,26.894655162499355,0.5176903605461121,0.0010759637225419283,,,,
63,27.79612562620787,0.5318560600280762,0.0008003014954738319,,,,
64,28.360882300338428,0.5277611017227173,0.0009891679510474205,,,,
65,25.91659830034797,0.5404947400093079,0.0017036739736795425,,,,
66,25.18259918292101,0.5577860474586487,0.001736898091621697,,,,
