Epoch,Loss_D,Loss_G,Loss_G_ADV,Loss_G_MSE,Loss_G_TV,Score_D,Score_G,PSNR,SSIM
1,0.8662604030841948,0.013710066719423975,0.6933770825110368,0.013640729088785242,0.0033070732811104364,0.4555082849937513,0.3066229167279233,18.291502491930967,0.5132528468966484
2,0.9688978019846838,0.004432993915323948,0.5068230305068705,0.0043823116266789855,0.0030000346874013407,0.5337089717814335,0.493176969006064,21.855697851274357,0.6328578988711039
3,1.0031157328963158,0.003066519769270114,0.4542657250159851,0.003021093186483822,0.0035063534943183335,0.5418282992019108,0.5457342740098838,19.978340364859083,0.6862212121486664
4,1.0189454660230564,0.0028355143266512164,0.3394567109225841,0.0028015686307517208,0.003907399132668942,0.6435626043240797,0.6605432890774159,23.107769738102093,0.7392083257436752
5,1.0002627436060219,0.0025035049445238404,0.45532871619917153,0.002457972087034531,0.00411658635100424,0.5515307620609136,0.5446712827353726,23.489108969382116,0.7260239322980245
6,0.992541420569337,0.0022357726219681922,0.46360261277110143,0.002189412336930655,0.004218909874714462,0.5452404083404405,0.5363973872288985,24.1442164727956,0.770646740992864
7,0.9967712390410645,0.002140857983738245,0.46745648490030994,0.0020941122995348947,0.0042151640596456135,0.538480011538904,0.5325435155867556,22.575936628810208,0.7708409130573273
8,0.9990205555332328,0.0021101555254774604,0.49311260299127363,0.0020608442437866433,0.0042751664043698115,0.5082550711846083,0.5068873945733987,24.35978853812302,0.7871779948472977
9,0.988814093606343,0.0021468363233782023,0.4605593656373341,0.0021007803513214706,0.004345750691610806,0.5513084242852886,0.5394406333885349,24.11461712621581,0.750596617658933
10,0.9886292031641757,0.0020036006496650326,0.44058763719067756,0.001959541834656823,0.004331506170385704,0.571977987291864,0.559412363296388,24.423676969584957,0.7746962507565817
11,0.9977310675522646,0.0019017849146056468,0.3963109123938174,0.0018621537614655628,0.004363328066727753,0.6075145675286088,0.6036890880932482,24.092735518779925,0.7722444583972295
12,0.9946847999424686,0.0018513605241883505,0.36225814735317136,0.001815134609823017,0.004389635382355234,0.6415391606987436,0.6377418526468287,24.635227319494515,0.7920065422852834
13,0.9954853098044235,0.0020270543729465937,0.24003631113985585,0.0020030506865613244,0.004412774016093216,0.7649718352552576,0.7599636888601441,24.123967100434704,0.7784255544344584
14,0.9872226996368236,0.0018713126721029932,0.329484102735724,0.0018383641653542957,0.004388959653127607,0.686865980583752,0.6705158972642761,24.66274013776239,0.7985001057386398
15,0.9964331304454707,0.0017770206571420591,0.32018876094009585,0.0017450016857133426,0.004462658328007035,0.6838278347308594,0.6798112390599041,24.556772724014344,0.7912067174911499
16,0.9976894565695275,0.00181610314712971,0.3433444400121048,0.0017817686162070886,0.0044313121170368695,0.6598908684470437,0.6566555599878953,24.492711884506146,0.7923435469468435
17,0.9933195805768801,0.0019020391252382721,0.4242770075189203,0.0018596113395455756,0.004479911829990861,0.5852782567991544,0.5757229919940142,24.886608624550032,0.7893561919530233
18,0.9956030673342657,0.0018254646509876275,0.36639872732152734,0.0017888246865636755,0.004475885764833642,0.6378108817661624,0.6336012726784727,24.57625938796216,0.7554001261790594
19,0.9971406457373022,0.0017568091286367246,0.38577640671530344,0.0017182313859942194,0.0044877371504385335,0.6188958926512589,0.6142235927976311,24.96976286477939,0.8059844175974528
20,0.9983298210493756,0.0017152589661867355,0.41585782928291454,0.0016736730770754939,0.004494574483183419,0.5875542725800738,0.5841421696516296,24.965492631594014,0.8018563240766525
21,0.9985098557525807,0.001688300022394972,0.45701549452585877,0.0016425983693481132,0.004498485500512376,0.5442434184641346,0.5429845059612067,25.082011516206425,0.7945063263177872
22,0.9985379490837744,0.0016840234476372797,0.4576484818502393,0.0016382584772600703,0.0044607583916649995,0.5441438370023733,0.5423515200980228,24.727084748259198,0.7782203853130341
23,0.9958877869719017,0.0016680626513529665,0.3795103908681042,0.0016301115085318517,0.004510926509863936,0.6240849877889358,0.620489609040571,24.402966310997844,0.7856890459855398
24,0.9989198504721668,0.0016295040739544185,0.3557791070626388,0.001593926037848186,0.00449515532595662,0.6466822103046421,0.6442208929373612,25.095937995612125,0.8091617872317632
25,0.9968388959750214,0.0016271694863226505,0.39343823591462196,0.0015878255439320992,0.004541823787917216,0.6112800390289315,0.6065617640853781,24.706929604410433,0.802669495344162
26,0.9983341359020619,0.0016404496136276513,0.41623216544765984,0.0015988262761213014,0.004528182400799565,0.5871106180399505,0.5837678345523402,24.93769643809619,0.7753973205884298
27,1.0002677894831922,0.0016586840035254945,0.4481583977378791,0.00161386805667853,0.004587132361954396,0.5534329181185051,0.551841601196665,24.86425462775122,0.7796929528315862
28,0.999915714709581,0.001620885371197247,0.4442159508538563,0.0015764636635890686,0.004519950730708999,0.5556492884020274,0.5557840491461438,25.160089045300996,0.8016488154729208
29,0.9996663640054424,0.0016179277584911823,0.3831753101241723,0.001579610117286847,0.004548045392771298,0.6171703856130177,0.6168246898758277,24.58639877400371,0.7865484356880188
30,0.9994998401957464,0.001610962085880575,0.3852490813179328,0.0015724370585691728,0.0045514104443586095,0.6165236706509654,0.6147509186820672,24.725850109781348,0.7975664287805557
