Epoch,Loss_D,Loss_G,Loss_GAN,Loss_CONTENT,Score_D,Score_G,PSNR,SSIM
1,0.07712372940602226,0.1398091571675663,0.9440393422531557,0.13886511750411787,0.8565264289453343,0.07463155852753779,25.00553574524172,0.6502928262710571
2,0.026281700027581862,0.05355912952166936,0.9700433023517206,0.052589086076031154,0.962803078403777,0.03135438637854637,26.268947852583263,0.652602977848053
3,0.01866002544907792,0.04641309242494738,0.9767028020925385,0.04543638955193573,0.975335053720525,0.021098963673040552,27.024974304969053,0.711628679561615
4,0.01629570802502566,0.04336177881583628,0.9838351141618976,0.04237794375998918,0.9816056558736455,0.016623799672783244,27.600272722737657,0.6900953441619873
5,0.01239051590776163,0.04128068420490082,0.9792757466062055,0.04030140853665865,0.9823716499177271,0.017432030107919338,27.84980102955812,0.6812831976890564
6,0.013292646489545262,0.03942177497591588,0.9884905725061305,0.03843328435944171,0.9843001138466999,0.014798639654044002,27.792481469631355,0.7197748134613037
7,0.010090175051887038,0.037874895875641315,0.9911202662083446,0.03688377563699503,0.9868341447190072,0.010933380502255969,27.443472359771928,0.6889769953727722
8,0.009654846975131522,0.036746410148086744,0.9914485178576696,0.035754961662430064,0.9898007819393683,0.009703475318286192,28.767907871226544,0.7371624152183532
9,0.00714202366427051,0.03567133404897213,0.9926735535660022,0.03467866050004507,0.9915452450174406,0.00832475324698081,28.382439587211135,0.6895083906173706
10,0.005538996688960772,0.03492372981417605,0.9965690761781951,0.03392716058181286,0.9955947418147719,0.005424203509984619,29.18661825219484,0.7719401903152466
11,0.0047352933066762025,0.03400586465700341,0.9939595728818449,0.033011905305885235,0.9942927764235071,0.005599018870856423,28.710897293002247,0.7264530532836914
12,0.003828563723372311,0.033604909014593225,1.001832678721724,0.03260307628647251,0.9958092027662736,0.0010094060555479476,29.338610087253535,0.7764222204208374
13,0.0030308347871603448,0.033061110478915676,0.996807977025402,0.03206430270068557,0.9972291918260724,0.003407374372664802,29.383217919903718,0.7858779413223267
14,0.002185727431436742,0.03251652108136233,0.999622871365254,0.03151689797651161,0.9978852870343033,0.0015632059692420013,29.62173305579003,0.790038321018219
15,0.0018460833822534722,0.032278312900547015,0.999429038916018,0.03127888374273851,0.997877926109592,0.0015993603609853065,29.535704732131812,0.7663144841194153
16,0.001786570716366432,0.031752090335412736,1.0004210934642597,0.03075166919531022,0.9983214678507278,0.0010901973200940732,29.72167314975237,0.7868412326812744
17,0.0014568893712695657,0.03160146922269099,0.9991815620601947,0.030602287583126657,0.9982816470601654,0.0013359783061913687,29.59952721178217,0.7617146242141724
18,0.001292957259404304,0.031406145706919894,0.9985376723172905,0.030407608005139714,0.9986987428494991,0.0016393662750687034,29.260250604743803,0.6987772060394287
