Epoch,Loss_D,Loss_G,Loss_G_ADV,Loss_G_MSE,Loss_G_TV,Loss_G_PERCEP,Score_D,Score_G,PSNR,SSIM
1,0.76321564078331,0.045698418021202086,0.7845466470718384,0.04150946065783501,0.006650727679952979,0.04150946065783501,0.5216056847572327,0.21545335948467254,11.960484610074666,0.28258369939449507
2,0.653385407924652,0.02554049700498581,0.9078654599189758,0.021285473331809045,0.0028967581316828727,0.021285473331809045,0.574116940498352,0.0921345471451059,17.387614152944224,0.41891177227863896
3,0.6534741950035096,0.019635101407766344,0.5594494485855103,0.015797075629234315,0.002764192186295986,0.015797075629234315,0.7854747605323792,0.44055055409669874,17.931889798576588,0.42687231455093777
4,0.930805549621582,0.016723250225186347,0.473187780380249,0.013045599311590194,0.002556505389511585,0.013045599311590194,0.5964942812919617,0.5268122208118439,19.02741940151279,0.4775899759469888
5,1.0104204034805297,0.014891307651996612,0.21345719337463379,0.011533424854278565,0.0025653648003935814,0.011533424854278565,0.8152799606323242,0.7865428054332733,19.528868703310806,0.5032145770696493
6,0.992623302936554,0.014921466261148453,0.8666289043426514,0.010971322990953922,0.002643915833905339,0.010971322990953922,0.1744868963956833,0.13337109506130218,18.277453984299417,0.5127571347432259
7,0.9830595970153808,0.013803446441888809,0.7984615015983582,0.009976957328617572,0.0027336627710610626,0.009976957328617572,0.2071128636598587,0.20153849691152573,18.51878072895191,0.499834438929191
8,0.9799141597747802,0.013274765461683274,0.6697384119033813,0.00963338602334261,0.0030780886858701706,0.00963338602334261,0.34651622295379636,0.33026159048080445,19.877300262271476,0.539095394886457
9,0.9845302319526672,0.014056930541992188,0.8227157044410706,0.010312229953706264,0.002952517280355096,0.010312229953706264,0.2252362298965454,0.17728430151939392,17.13818689620335,0.530329921306708
10,0.9913827323913574,0.01276047270745039,0.8978037810325623,0.009008791856467723,0.003326210752129555,0.009008791856467723,0.12074732214212418,0.10219621151685715,19.984139297703074,0.5456921557585398
11,0.9849045324325562,0.011660111472010612,0.8936333656311035,0.007976427003741264,0.0035117259062826633,0.007976427003741264,0.12970251843333244,0.10636663306038827,20.79841960572129,0.5787068406740824
