Epoch,Loss_D,Loss_G,Loss_G_ADV,Score_D,Score_G,PSNR,SSIM
1,1.0002161775838367,0.016887696152143902,0.5382328756739584,0.4615509451896835,0.4617671262743037,24.752046232890088,0.6095219254493713
2,0.999955071005076,0.006117484563213904,0.5386812365456913,0.46136369381910447,0.46131876433711494,25.322328996590983,0.6166420131921768
3,0.9999568043495467,0.005579374123182037,0.5385991513302913,0.4614440371968286,0.461400846234381,25.940215605159867,0.6239370753367742
4,1.0000765285891338,0.005227858351450319,0.538485570752706,0.4614379001710948,0.46151442632490086,25.429626884205906,0.6215667774279913
5,1.0000580193682271,0.0051697969467087105,0.5385240150179877,0.4614179636655229,0.4614759830337501,25.437070552067645,0.6263451973597208
6,1.0000696201124766,0.005237179020166671,0.5385609583908253,0.46136941565191175,0.461439038199716,25.434415297194747,0.6279502262671789
7,1.0001334933387125,0.005056109506754819,0.5385013765163635,0.46136513160612047,0.46149862631470484,25.841617244890116,0.629224568605423
8,1.000079506142512,0.004825388420034538,0.5385101571511687,0.4614103383806071,0.46148984528415904,25.67044001371052,0.6316862603028616
9,1.0000138971973611,0.00479582306787189,0.5384574413786626,0.4615286608455861,0.46154255901707814,25.87525820150766,0.6515387495358785
10,1.000112844682446,0.004806416019782105,0.538449171310304,0.4614379898520363,0.461550828689696,25.848478080287197,0.6782016853491465
11,0.9227520061829969,0.004757893157588266,0.593215029013169,0.48403296285557185,0.3977644405764384,25.643222370100133,0.6578867634137472
12,0.9664495331639532,0.004698090632450867,0.5958404600072321,0.4377100140891353,0.3870248203988704,25.86910044176356,0.6598602135976156
13,0.9820703430000438,0.004665043914692516,0.6745889370117538,0.3433407168983804,0.3301228061851125,25.7613479780823,0.6300472070773443
14,0.963211083862706,0.00462204251824607,0.5832344018402333,0.4535545135664623,0.4069416874275753,26.1292584115184,0.6404562890529633
15,0.930440591657734,0.004676962830697066,0.6101606537543229,0.4593987555620741,0.38707858963324415,26.03390800115653,0.6331518540779749
16,0.9410003295836094,0.004546392126821278,0.5827723270295467,0.47622734777043374,0.4083028165994553,25.94389312838894,0.6481911391019821
17,0.9897938604496107,0.004631299636325779,0.3346339857493041,0.6755721533140197,0.6677778743747793,25.769035792622148,0.6458730101585388
18,0.9999844343596508,0.004551582150655942,6.914577152926297e-05,0.9999464169464267,0.9999285319000026,25.88836746909302,0.6489778061707815
19,1.0000220652863734,0.004434147730290859,8.853652016987474e-05,0.9998893952710636,0.9999121336820055,25.739751041083583,0.6322415620088577
20,0.9998495318185808,0.0044949497029649526,0.0006180924341554417,0.9995323757472637,0.9992158225413119,25.915142834248833,0.6394445846478144
21,0.9182740840775487,0.004497427288804344,0.4224064055453525,0.6593195084288366,0.5660167367514356,26.174869946753763,0.6903568009535471
