Epoch,Loss_D,Loss_G,Loss_G_ADV,Score_D,Score_G,PSNR,SSIM
1,0.8916648436861799,0.017732834328008467,0.5045827689279622,0.6037523877484717,0.4803242123398944,19.653823893357206,0.5473723709583282
2,0.9880457286145751,0.002955255943736479,0.2936081360501482,0.7183461353352768,0.7045557486693669,22.57592381201624,0.6180398464202881
3,0.9862548494520296,0.0021214590035201876,0.34236061033640525,0.671384540075585,0.6506713838631663,23.983570586947902,0.6400591842830181
4,0.9793178575120498,0.002226489297549874,0.3340285570449249,0.68665358399257,0.6650620155461388,19.60905164139293,0.6125595718622208
5,0.9367667417562506,0.0018353658873488696,0.32612782100307625,0.7371054357902179,0.6758423157064634,24.51281521245765,0.6452113948762417
6,0.9841761781235612,0.0016599192344247161,0.2356686987351102,0.7801551202404182,0.7613690112480193,21.620879904738377,0.6401550024747849
7,0.9739484676390093,0.0017522805177397714,0.2327232630987131,0.7933282707127328,0.7619570373129029,25.847499954273108,0.7067120149731636
8,0.979855639309031,0.001391996925045159,0.15324649842519725,0.8668978680675927,0.8527844020169044,24.609651604039403,0.7142268866300583
9,1.0000006120921088,0.001391682105967527,1.8565826996197719e-06,0.9999975284242811,0.9999993661510627,26.256854648079724,0.7253478243947029
10,1.0000000029009104,0.0012207739261428723,2.9009104681558934e-09,0.9999999912972686,0.9999999970990895,26.232287468075576,0.7313625626266003
11,1.0,0.0010837114015912828,0.0,1.0,1.0,26.29261326190853,0.7246700376272202
12,1.0000000029009104,0.000984883027243297,0.0,0.9999999970990895,1.0,26.90336680834884,0.7589360550045967
13,1.0,0.0009193722151588124,5.801820936311787e-09,0.9999999912972686,0.9999999941981791,27.00638817101598,0.7724250145256519
14,1.0000000058924743,0.0008720613955856503,2.4476432075065353e-09,0.9999999916598824,0.9999999975523568,26.335401732946945,0.730079397559166
15,1.0000000029009104,0.0012727536840945086,0.0,0.9999999970990895,1.0,25.106703696813483,0.697404719889164
16,0.9999999995920594,0.0011316408521846334,1.0878414255584601e-09,0.9999999993200991,0.9999999989121586,25.402193068479185,0.7533880397677422
17,1.0,0.0009096152202700736,0.0,1.0,1.0,27.36547834631347,0.7869328856468201
18,1.0000000029009104,0.0008833454895282993,2.9009104681558934e-09,0.9999999941981791,0.9999999970990895,27.449543481431633,0.7678429521620274
19,1.0000000029009104,0.0008498116738531214,0.0,0.9999999970990895,1.0,27.645230058823177,0.7842580825090408
20,1.0,0.0007607894798230819,2.9009104681558934e-09,0.9999999970990895,0.9999999970990895,27.676596190123437,0.7853807918727398
21,1.0000000029009104,0.0007986611109439411,2.9009104681558934e-09,0.9999999941981791,0.9999999970990895,27.911928929480865,0.7975982017815113
22,0.9999999970990895,0.0007439579860264782,5.801820936311787e-09,0.9999999970990895,0.9999999941981791,27.64949855410727,0.7938340529799461
23,1.0,0.0007332632295564242,5.801820936311787e-09,0.9999999941981791,0.9999999941981791,27.43066571249518,0.8040833175182343
24,1.0,0.0007411664213273434,5.801820936311787e-09,0.9999999941981791,0.9999999941981791,27.704122182675363,0.793999508023262
25,1.0,0.0007007241164982148,0.0,1.0,1.0,27.733881183952178,0.8042227886617184
26,0.9999999970990895,0.0007387797371218753,2.9009104681558934e-09,1.0,0.9999999970990895,27.721798788333096,0.8063023872673512
27,1.0000000029009104,0.0007247699298913601,2.9009104681558934e-09,0.9999999941981791,0.9999999970990895,28.079773743932485,0.8109837770462036
28,1.0000000029009104,0.0006603094058185674,2.9009104681558934e-09,0.9999999941981791,0.9999999970990895,28.2159843919837,0.8144267946481705
29,0.9999999970990895,0.0006648583023608822,5.756494210246851e-09,0.9999999971444162,0.9999999942435058,28.163260339280342,0.8154635764658451
30,1.0000000029009104,0.0006827931165935988,1.1603641872623573e-08,0.9999999854954477,0.9999999883963582,28.156180342052153,0.8198636919260025
31,1.000000005620514,0.0006855345463925555,2.9009104681558934e-09,0.9999999914785755,0.9999999970990895,26.366507353121925,0.7544524818658829
32,1.0000000029009104,0.0007947030006252768,2.9009104681558934e-09,0.9999999941981791,0.9999999970990895,28.129060568977394,0.8220001496374607
33,1.0,0.0006528476584249463,2.9009104681558934e-09,0.9999999956486343,0.9999999970990895,26.930804212279533,0.8036798760294914
34,1.0000000029009104,0.0006917672474362211,0.0,0.9999999970990895,1.0,27.923942119532867,0.8132907152175903
35,1.0,0.0006663854626545633,0.0,0.9999999985495448,1.0,28.001404569623062,0.8099262453615665
36,1.0,0.0006610375878174467,0.0,1.0,1.0,28.261106453288836,0.8305025361478329
37,1.0000000029009104,0.0006998898342832526,0.0,0.9999999970990895,1.0,27.88803648123126,0.8334239087998867
38,1.0,0.0006566307838110274,1.4504552340779467e-09,0.9999999970990895,0.9999999985495448,27.75555519238294,0.8276059664785862
39,1.0,0.0006393901562449228,1.1603641872623573e-08,0.9999999883963582,0.9999999883963582,28.263774730924244,0.8352411575615406
40,1.0,0.000621692436842864,2.9009104681558934e-09,0.9999999970990895,0.9999999970990895,28.33085335160225,0.8304737508296967
41,1.0,0.0006329215414106789,0.0,1.0,1.0,28.22784693048903,0.830375175923109
42,1.0000000014504553,0.0006348681459097128,1.0153186638545627e-08,0.9999999883963582,0.9999999898468134,28.297745608870507,0.85235745459795
43,1.0,0.0006051702539085945,8.702731404467681e-09,0.9999999912972686,0.9999999912972686,28.123015468024825,0.831381045281887
44,0.9999999985495448,0.000618466003682861,7.252276170389734e-09,0.9999999941981791,0.9999999927477238,28.36786856919457,0.8516465425491333
