Epoch,Loss_D,Loss_G,Loss_G_ADV,Loss_G_MSE,Loss_G_TV,Score_D,Score_G,PSNR,SSIM
1,0.9697729073944326,0.010802191334935447,0.7606863958477609,0.010726122606538076,0.0031549379222886496,0.2746146602588632,0.2393136045441747,21.765607575081646,0.6110214122169686
2,0.9990259122190972,0.0033542443108692597,0.9875848808376246,0.0032554858160111005,0.00357323805102365,0.014534737365722205,0.012415119952904516,21.89200162228607,0.7009173255086444
3,1.0000098277648208,0.0027338508101545497,0.9999429145190518,0.002633856509220468,0.0040249730958826875,4.835953929985671e-05,5.708662579481975e-05,24.232407725151116,0.7456744999067554
4,1.0000015222015615,0.002337425821142098,0.9999691745964573,0.0022374288870099708,0.004200717380062978,2.9406050291503366e-05,3.082516681707959e-05,24.14774957206411,0.7380154974540407
5,1.0000005786338548,0.0021615389000103104,0.9999643427237062,0.0020615424405768194,0.004269163424874046,3.506470470236278e-05,3.565661456036323e-05,24.75744542443948,0.789492254351971
6,1.0000036462943571,0.0020488016970885634,0.9999678310870638,0.0019488048780637206,0.004402539139162593,2.8738543918718068e-05,3.216893401469455e-05,24.40717678810653,0.7405392436552247
7,1.0000009648159405,0.0019488643576125628,0.9999793325917105,0.0018488663708671274,0.004414911499861495,1.9734405030322725e-05,2.066844752651694e-05,24.70626595866708,0.7572877422037484
8,1.0000018173632754,0.0018649650797099484,0.9999854920224588,0.0017649664503614493,0.004421115317786221,1.2742805548844114e-05,1.4510788654258529e-05,24.957186320756612,0.7812700713029965
9,1.000000135891284,0.0018235687307958264,0.9999888627594898,0.001723569762784573,0.004460567367321168,1.0995516910448146e-05,1.1136854884185519e-05,25.163727899874807,0.8000068690736922
10,1.0000007300503528,0.0017966424132601203,0.999988543792448,0.0016966434651072516,0.0045424627294274956,1.0757536527235179e-05,1.1457830496471517e-05,25.195071858639576,0.8023402810595525
11,1.000001347466801,0.0017845534037682585,0.99998704588328,0.001684554617336368,0.004485407876530025,1.1650395009356254e-05,1.295271442552128e-05,24.62272938885176,0.752225848546088
12,1.0000004308703483,0.00178602341416485,0.9999862380850911,0.0016860247096636611,0.004477380456705411,1.3342953830756237e-05,1.3761508543505459e-05,24.89229304789747,0.7995592102595453
13,1.0000002846898048,0.0016893343458930078,0.9999897461137197,0.0015893352743089808,0.004529309390061387,9.980984217630958e-06,1.025331687065917e-05,25.139271456094146,0.7804713897625273
14,1.0000006823788137,0.001680582905648632,0.9999911639614903,0.0015805836902994118,0.004566786801242731,8.175356820726204e-06,8.836289006389463e-06,25.08052861357173,0.7614526143882066
15,1.0000002484034225,0.0016954561743734973,0.9999938892758051,0.001595456692660313,0.0045362984936634905,5.8683662267774345e-06,6.112476406220746e-06,25.10393589886774,0.8027790415735923
16,1.0000002821327107,0.00169618804670349,0.9999951516887872,0.0015961884385863351,0.0045719701053329245,4.569819111827397e-06,4.848634354060943e-06,25.1237937455466,0.7950485793865875
